사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,2호선,45,문래,11,0,"3,216","1,712","11,128","8,948","38,147","29,165","40,741","109,304","24,128","52,149","17,614","19,341","17,007","17,676","18,677","19,447","20,605","20,757","21,196","20,961","22,325","20,955","27,405","23,590","46,029","31,417","94,643","49,626","35,122","37,179","22,555","19,438","22,056","16,832","18,693","15,800","7,659","9,203",17,482,1,0,0,3,0,0
20-Oct,2호선,46,영등포구청,31,1,"5,354","3,084","11,305","12,669","36,496","31,143","42,107","113,062","26,947","50,322","20,833","24,720","21,723","21,117","23,150","22,471","24,407","24,230","25,281","22,862","27,654","23,567","32,442","26,347","48,343","32,107","95,444","49,370","35,339","34,819","24,931","20,286","22,924","18,092","17,280","17,243","6,396","11,621",8,562,4,8,0,1,0,0
20-Oct,2호선,47,당산,75,7,"6,315","3,399","14,559","11,723","40,868","26,560","51,111","76,024","30,535","35,455","20,889","18,687","20,327","17,420","21,717","19,393","22,404","21,352","21,178","21,163","21,688","24,163","25,932","28,652","39,633","41,211","60,214","66,731","28,014","47,357","20,154","29,537","19,281","27,428","16,918","24,872","7,069","17,684",21,379,2,17,0,1,0,0
20-Oct,2호선,48,합정,88,0,"7,567","2,955","15,555","13,875","38,599","30,215","50,695","84,924","33,686","66,841","24,218","39,761","25,556","37,917","28,457","42,735","33,017","47,297","34,443","46,628","37,415","44,632","45,188","50,014","62,888","68,138","99,813","99,478","67,647","70,465","50,506","37,241","56,023","29,992","55,436","25,407","23,553","19,184",60,839,17,18,0,4,0,0
20-Oct,2호선,49,홍대입구,624,12,"17,977","3,382","22,805","13,978","54,503","28,616","67,545","87,707","44,983","95,808","33,557","65,626","39,103","72,168","47,599","96,346","58,846","110,070","60,472","107,339","72,286","109,633","91,454","112,505","118,595","137,036","150,985","179,876","114,767","133,382","108,287","69,202","127,677","51,446","132,980","42,663","56,375","32,697",464,"5,993",46,27,0,7,0,0
20-Oct,2호선,50,신촌,70,4,"6,049","2,648","11,653","14,700","28,979","30,693","40,574","68,422","29,538","78,717","28,349","49,969","32,604","45,967","40,929","50,734","43,541","60,610","46,451","53,043","52,116","49,006","62,092","49,514","79,100","67,109","82,647","96,639","57,988","65,977","57,057","33,856","59,440","27,569","62,626","23,036","24,351","17,475",40,111,18,16,0,0,0,0
20-Oct,2호선,51,이대,32,1,"2,441","1,718","5,865","10,967","17,031","10,830","21,977","33,172","14,027","30,400","10,947","21,766","12,346","18,381","17,793","19,519","19,432","22,698","17,297","18,677","20,303","17,433","27,007","17,870","36,310","21,524","32,460","28,920","19,646","21,198","16,324","12,500","16,295","11,629","13,342","11,101","4,053","8,772",3,29,0,6,0,1,0,0
20-Oct,2호선,52,아현,17,3,"4,725","1,249","9,063","7,355","24,269","10,264","32,537","20,442","19,234","11,203","14,057","9,003","13,727","8,763","15,019","10,478","14,232","11,680","13,962","12,106","15,669","12,915","18,793","14,780","18,031","19,855","18,451","28,158","11,156","22,120","7,467","14,130","5,766","13,227","4,017","12,350","1,566","7,870",4,20,1,10,0,0,0,0
20-Oct,2호선,53,충정로(경기대입구),28,0,"3,064",981,"5,849","5,120","13,700","19,036","19,015","54,905","12,461","26,072","9,948","11,657","10,573","9,415","10,579","8,650","11,215","10,832","11,334","10,121","12,381","10,670","15,118","11,224","23,419","14,497","45,416","19,233","15,468","14,262","9,453","8,898","8,418","8,831","6,565","7,954","2,270","5,551",8,153,1,3,0,1,0,0
20-Oct,2호선,54,용답,29,0,"2,366",210,"3,018",868,"6,931","1,635","10,970","2,797","5,497","1,748","3,724","1,921","3,333","2,093","3,601","2,455","3,952","2,667","3,620","3,181","3,344","3,800","3,717","5,051","4,181","5,946","3,599","9,183","2,164","6,203","1,360","3,816","1,146","4,695",977,"4,286",349,"2,887",0,2,0,2,0,0,0,0
20-Oct,2호선,55,신답,0,0,942,134,"1,598",514,"5,377",784,"8,444","1,761","3,483","1,032","1,932",869,"1,719","1,109","1,829","1,203","1,774","1,383","1,597","1,577","1,495","2,128","1,511","2,804","1,982","3,806","2,131","8,050",943,"6,052",559,"2,882",451,"2,892",479,"2,167",107,"1,755",2,27,0,1,0,0,0,0
20-Oct,2호선,56,신설동,19,0,"1,190",484,"1,104","1,700","2,824","4,438","5,172","11,293","3,819","7,634","3,530","5,992","4,268","6,208","5,451","6,356","6,375","6,683","7,347","6,057","8,061","5,229","8,807","4,310","10,829","4,311","10,111","5,124","4,207","3,665","2,457","2,296","2,196","1,903","1,577","1,747",468,"1,201",10,351,0,4,0,0,0,0
20-Oct,2호선,57,도림천,20,0,263,240,922,698,"2,553","3,877","2,685","5,458","1,750","1,991","1,754","1,445","1,487","1,183","2,209","1,700","1,548","1,319","1,974","1,683","2,413","1,371","2,414","1,619","2,849","1,795","3,208","2,412","1,741","2,215",775,"1,328",679,"1,120",356,988,157,689,0,71,0,0,0,0,0,0
20-Oct,2호선,58,양천구청,5,0,"4,137",881,"10,011","2,019","28,547","4,763","25,977","9,574","14,325","5,485","9,510","4,038","9,210","4,454","10,039","5,563","9,014","6,917","6,991","7,164","6,686","8,794","7,812","10,726","8,520","16,018","8,428","26,006","3,792","22,900","2,557","12,683","2,416","11,243","2,176","9,865",626,"7,222",2,759,4,2,0,0,0,0
20-Oct,2호선,59,신정네거리,78,1,"7,413","1,442","13,359","6,365","40,406","4,837","38,108","11,978","20,520","7,477","13,688","6,446","12,646","7,915","13,079","8,336","12,697","9,924","10,941","10,514","10,375","13,484","12,961","17,052","14,054","23,748","11,391","39,450","6,538","32,356","5,005","17,550","3,811","14,445","3,115","13,419","1,153","8,728",11,768,0,5,0,0,0,0
20-Oct,2호선,60,용두(동대문구청),18,0,986,212,"1,372",745,"4,064","2,161","6,729","5,782","3,589","3,294","2,856","2,766","3,216","3,061","3,436","2,829","3,389","3,491","3,581","3,700","3,915","3,954","4,121","3,581","4,452","3,946","5,329","6,499","2,189","4,713","1,339","2,509","1,170","2,402",827,"1,882",245,"1,329",0,35,0,0,0,0,0,0
20-Oct,3호선,61,지축,3,0,"1,141",283,"4,834","2,146","14,816","2,622","14,062","2,888","6,728","2,049","4,591","2,188","4,413","2,874","4,242","3,133","3,833","3,210","3,733","3,197","4,080","4,019","5,001","5,063","5,328","6,317","3,910","12,342","1,845","9,829","1,204","6,843",859,"5,255",670,"5,502",191,"2,844",3,15,0,1,0,0,0,0
